trial_index,repeat_index,id,base_case_id,family,tool_name,forge_status,attempts,verification_cases,cold_forge_success,cold_example_success,warm_success,warm_reuse,warm_path,search_score,failure_type,cold_latency_ms,warm_latency_ms,forge_log_path
23,3,agent_demo_03_sort_numbers__r03,agent_demo_03_sort_numbers,list,sort_numbers_ascending,success,1,3,True,False,True,True,fast,0.8105,,41356.43890000938,8052.002199998242,data\forge_logs\liu_xinquan_real_agent_50\79f59ea35dc649a89f97788ca7c30735.json
24,3,agent_demo_04_deduplicate__r03,agent_demo_04_deduplicate,list,deduplicate_list_preserve_first,success,1,3,True,False,True,True,fast,0.8083,,43875.97180000739,9947.758900001645,data\forge_logs\liu_xinquan_real_agent_50\fc87839ecc4f45cfaa478a1ad2016eec.json
25,3,agent_demo_05_json_rows_filter__r03,agent_demo_05_json_rows_filter,json_rows,filter_names_by_score_threshold,success,1,3,True,True,True,True,fast,0.8071,,65606.94230000081,16231.952100002673,data\forge_logs\liu_xinquan_real_agent_50\e258702c87d843378e0d467cfae2fe2b.json
26,3,agent_demo_06_csv_text__r03,agent_demo_06_csv_text,csv_text,join_names_above_threshold,success,1,3,True,False,False,True,fast,0.8083,,71131.81259999692,16533.025400000042,data\forge_logs\liu_xinquan_real_agent_50\121d60279ff94e4088227683226ed65b.json
27,3,agent_demo_07_jsonl_sum__r03,agent_demo_07_jsonl_sum,jsonl,sum_jsonl_field,success,1,3,True,True,True,True,fast,0.8095,,70164.77829999349,58327.587299994775,data\forge_logs\liu_xinquan_real_agent_50\b81672d141dd45139650e52030eee64f.json
28,3,agent_demo_08_moving_average__r03,agent_demo_08_moving_average,moving_average,moving_average,success,1,3,True,False,True,True,fast,0.8091,,59190.34610000381,8212.823699999717,data\forge_logs\liu_xinquan_real_agent_50\fabc103e1dd14b84b5891ceec83c76dc.json
29,3,agent_demo_09_category_aggregation__r03,agent_demo_09_category_aggregation,category_aggregation,sum_by_category,success,1,3,True,True,True,True,fast,0.8074,,58080.1330999966,13798.806899998453,data\forge_logs\liu_xinquan_real_agent_50\e243d7eb85b9402692f8f953e23535c5.json
30,3,agent_demo_10_url_query_keys__r03,agent_demo_10_url_query_keys,url,get_sorted_query_param_names,success,2,3,True,True,True,True,fast,0.8095,runtime,134964.03329999885,4987.089799993555,data\forge_logs\liu_xinquan_real_agent_50\36aef332208b419b86496372204609cd.json
31,4,agent_demo_01_text_reverse__r04,agent_demo_01_text_reverse,string,reverse_text,success,1,3,True,True,True,True,fast,0.8118,,34002.21930000407,11584.862999996403,data\forge_logs\liu_xinquan_real_agent_50\52990095ee2f469b9ae1f1ba0d275568.json
32,4,agent_demo_02_vowel_count__r04,agent_demo_02_vowel_count,string,count_vowels,success,1,3,True,True,True,True,fast,0.8095,,47902.31320000021,9317.25560000632,data\forge_logs\liu_xinquan_real_agent_50\ebee97b4e22f4187ade7cfafddea5ae7.json
